               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11039,            0.028741,                   0,           0.0027149,             0.31972,           0.0081735,           0.0020914,            0.086704,            0.019787,                   0,            0.070219,            0.003309,            0.003309
                   1,            0.076591,            0.029302,                   0,             0.32006,             0.34458,             0.26748,            0.085864,            0.063994,            0.016594,                   0,            0.039561,           0.0059847,           0.0059847
                   2,            0.066763,             0.02266,                   0,             0.37697,             0.41918,              0.3366,             0.10481,            0.062327,            0.013432,                   0,           0.0082438,           0.0080005,           0.0080005
                   3,            0.059442,            0.021663,                   0,             0.48821,             0.54174,             0.50752,             0.16937,            0.051952,            0.013044,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.054499,            0.019706,                   0,             0.58496,             0.57726,             0.60283,             0.25256,            0.047524,            0.011772,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.051643,            0.019741,                   0,             0.65937,             0.57763,             0.62597,             0.25942,            0.046348,            0.011304,                   0,             0.00604,             0.00604,             0.00604
                   6,             0.04806,            0.019397,                   0,             0.67979,             0.65542,              0.6824,              0.3282,            0.041579,            0.011285,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.045398,            0.018932,                   0,             0.69357,              0.7016,             0.71973,             0.36931,            0.039178,            0.010352,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.042741,            0.018116,                   0,             0.72333,             0.68726,              0.7231,             0.35545,            0.040463,            0.010401,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.042512,             0.01842,                   0,             0.71986,             0.70289,             0.73434,             0.37572,            0.038337,            0.010474,                   0,             0.00208,             0.00208,             0.00208
